epoch,categorical_accuracy,loss,lr,val_categorical_accuracy,val_loss
0,0.381630003452301,2.1179354190826416,0.001,0.6040999889373779,1.8517323732376099
1,0.5400999784469604,1.8928004503250122,0.001,0.6865000128746033,1.6952394247055054
2,0.5921000242233276,1.8250339031219482,0.001,0.7354000210762024,1.6374809741973877
3,0.6196699738502502,1.7908942699432373,0.001,0.7598000168800354,1.603559136390686
4,0.6361700296401978,1.7701326608657837,0.001,0.7738000154495239,1.5802927017211914
5,0.647130012512207,1.754659652709961,0.001,0.7818999886512756,1.5636805295944214
6,0.6545699834823608,1.7421518564224243,0.001,0.7875000238418579,1.5506750345230103
7,0.6593999862670898,1.7331212759017944,0.001,0.7929999828338623,1.540151596069336
8,0.6661099791526794,1.724462866783142,0.001,0.7971000075340271,1.5316659212112427
9,0.6686999797821045,1.718733549118042,0.001,0.7991999983787537,1.525047779083252
10,0.6724500060081482,1.7139497995376587,0.001,0.8022000193595886,1.518926739692688
