epoch,categorical_accuracy,loss,lr,val_categorical_accuracy,val_loss
0,0.3042899966239929,2.179574489593506,0.001,0.5806000232696533,1.9558523893356323
1,0.514680027961731,1.933067798614502,0.001,0.6523000001907349,1.7459211349487305
2,0.5649700164794922,1.827170729637146,0.001,0.6931999921798706,1.6799468994140625
3,0.6061000227928162,1.7788044214248657,0.001,0.7257999777793884,1.643349051475525
4,0.6357600092887878,1.7471210956573486,0.001,0.7439000010490417,1.6171026229858398
5,0.6568999886512756,1.720867395401001,0.001,0.7544000148773193,1.597787857055664
6,0.6698899865150452,1.7003551721572876,0.001,0.7634000182151794,1.5835778713226318
0,0.38227999210357666,2.0613808631896973,0.001,0.6349999904632568,1.773746132850647
1,0.5446599721908569,1.8407975435256958,0.001,0.6938999891281128,1.6703667640686035
2,0.6028800010681152,1.7746715545654297,0.001,0.7278000116348267,1.6289184093475342
3,0.6384999752044678,1.738085150718689,0.001,0.7469000220298767,1.6025358438491821
4,0.6585100293159485,1.7131288051605225,0.001,0.760699987411499,1.5825034379959106
0,0.40411999821662903,2.062650203704834,0.001,0.6342999935150146,1.7707856893539429
1,0.5450699925422668,1.8397583961486816,0.001,0.692300021648407,1.6705046892166138
2,0.5952600240707397,1.7778568267822266,0.001,0.7174999713897705,1.6339561939239502
3,0.6259099841117859,1.74460768699646,0.001,0.7350999712944031,1.611395239830017
4,0.6442499756813049,1.722274899482727,0.001,0.7479000091552734,1.5943251848220825
5,0.6599199771881104,1.7037159204483032,0.001,0.7591000199317932,1.5806509256362915
6,0.6716499924659729,1.6888443231582642,0.001,0.7670000195503235,1.5695908069610596
7,0.6823400259017944,1.6764514446258545,0.001,0.7735999822616577,1.5597082376480103
8,0.6907699704170227,1.6657963991165161,0.001,0.7789000272750854,1.5515803098678589
9,0.6996099948883057,1.6554826498031616,0.001,0.7849000096321106,1.5442206859588623
10,0.7040299773216248,1.6481685638427734,0.001,0.7910000085830688,1.5379997491836548
